                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.421,                  3.301,                 2.0134,                0.27595,                0.59077,                0.42151,                0.31443,                0.84438,                 3.6135,                 1.4726,              0.0001875,              0.0001875,              0.0001875
                      2,                0.92474,                 2.0806,                 1.6204,                0.55164,                0.67565,                0.59246,                 0.5016,                 0.6683,                 2.4721,                 1.1832,             0.00038366,             0.00038366,             0.00038366
                      3,                 0.8271,                 1.7166,                 1.5231,                0.75639,                0.81897,                0.86314,                0.71162,                 0.7014,                 1.6124,                 1.1721,             0.00057587,             0.00057587,             0.00057587
                      4,                0.79501,                 1.4053,                 1.5579,                0.83804,                0.96875,                0.92692,                0.79426,                0.71379,                 1.1618,                 1.1438,             0.00076411,             0.00076411,             0.00076411
                      5,                0.83062,                 1.1559,                 1.4885,                0.90948,                0.93304,                0.97716,                0.83558,                0.68744,                0.87096,                 1.0954,             0.00094839,             0.00094839,             0.00094839
                      6,                0.77568,                 1.0553,                  1.504,                0.96251,                0.92223,                0.99167,                0.87197,                 0.6517,                0.76505,                 1.1386,              0.0011287,              0.0011287,              0.0011287
                      7,                0.77746,                 0.8891,                 1.4788,                0.88587,                0.99449,                0.99167,                0.87612,                0.61163,                0.80356,                  1.115,              0.0011757,              0.0011757,              0.0011757
                      8,                0.71193,                0.76925,                 1.3714,                0.98389,                0.96875,                0.99167,                0.86516,                0.58712,                0.61592,                  1.152,              0.0011634,              0.0011634,              0.0011634
                      9,                0.68046,                 0.7199,                 1.4426,                0.92946,                0.96698,                0.98111,                 0.8522,                0.60521,                0.58196,                  1.105,               0.001151,               0.001151,               0.001151
                     10,                0.65951,                 0.6514,                 1.3997,                0.98083,                      1,                  0.995,                0.86662,                0.59879,                0.51004,                 1.1231,              0.0011386,              0.0011386,              0.0011386
                     11,                0.67929,                0.62843,                  1.428,                0.96982,                0.99338,                  0.995,                0.87444,                0.57051,                0.49522,                 1.0899,              0.0011263,              0.0011263,              0.0011263
                     12,                0.64124,                0.60805,                 1.4055,                0.98514,                      1,                  0.995,                0.87883,                0.51137,                0.44368,                 1.0383,              0.0011139,              0.0011139,              0.0011139
                     13,                0.66424,                0.61552,                 1.4114,                0.97898,                      1,                  0.995,                0.90292,                0.48289,                0.41803,                 1.0642,              0.0011015,              0.0011015,              0.0011015
                     14,                0.64734,                0.57545,                 1.4313,                0.97476,                      1,                  0.995,                0.90699,                0.46895,                0.43572,                 1.0809,              0.0010891,              0.0010891,              0.0010891
                     15,                0.63774,                0.53405,                 1.3991,                  0.984,                      1,                  0.995,                 0.8823,                0.57752,                0.40789,                  1.077,              0.0010768,              0.0010768,              0.0010768
                     16,                0.66625,                0.55934,                 1.4323,                0.97989,                      1,                  0.995,                0.90041,                0.46055,                0.41345,                 1.1082,              0.0010644,              0.0010644,              0.0010644
                     17,                0.60294,                 0.5011,                  1.361,                0.97714,                0.97304,                  0.995,                0.89585,                0.49011,                0.46662,                 1.1109,               0.001052,               0.001052,               0.001052
                     18,                0.60008,                0.50661,                 1.3414,                0.98546,                      1,                  0.995,                0.91726,                0.45927,                0.37967,                 1.0645,              0.0010396,              0.0010396,              0.0010396
                     19,                0.57649,                0.48561,                 1.4128,                0.96786,                0.99642,                  0.995,                0.89443,                0.47039,                0.37207,                 1.0822,              0.0010273,              0.0010273,              0.0010273
                     20,                0.60212,                0.50709,                 1.4287,                0.98379,                0.97866,                  0.995,                0.91834,                0.49578,                0.39609,                 1.0797,              0.0010149,              0.0010149,              0.0010149
                     21,                0.56479,                0.45853,                  1.365,                0.97125,                 0.9738,                  0.995,                0.89287,                0.50523,                0.43743,                 1.0392,              0.0010025,              0.0010025,              0.0010025
                     22,                0.55264,                  0.447,                   1.36,                0.98479,                      1,                  0.995,                0.88899,                0.48707,                0.35343,                 1.0386,             0.00099013,             0.00099013,             0.00099013
                     23,                0.58759,                0.47392,                 1.3797,                0.99122,                      1,                  0.995,                0.90694,                 0.4232,                0.31547,                 1.0459,             0.00097775,             0.00097775,             0.00097775
                     24,                0.55452,                0.44489,                 1.3673,                0.98835,                      1,                  0.995,                0.90367,                0.52119,                  0.354,                 1.0639,             0.00096537,             0.00096537,             0.00096537
                     25,                0.53675,                0.44219,                 1.3137,                0.98955,                      1,                  0.995,                0.89235,                 0.5024,                0.34827,                 1.0335,               0.000953,               0.000953,               0.000953
                     26,                0.57476,                0.45109,                 1.4182,                0.98608,                      1,                  0.995,                0.89042,                 0.5074,                0.34507,                 1.0601,             0.00094062,             0.00094062,             0.00094062
                     27,                0.55194,                0.42687,                 1.3749,                0.98986,                      1,                  0.995,                0.88968,                0.47015,                0.32161,                 1.0373,             0.00092825,             0.00092825,             0.00092825
                     28,                0.55188,                0.42284,                 1.3637,                0.98753,                      1,                  0.995,                0.89445,                 0.5025,                0.33134,                 1.0487,             0.00091588,             0.00091588,             0.00091588
                     29,                0.54254,                0.41109,                  1.365,                0.98603,                      1,                  0.995,                0.90803,                0.46203,                0.32669,                 1.0458,              0.0009035,              0.0009035,              0.0009035
                     30,                  0.539,                0.42438,                 1.3821,                0.98332,                      1,                  0.995,                0.90405,                0.48194,                0.31113,                 1.0593,             0.00089112,             0.00089112,             0.00089112
                     31,                0.53229,                0.40759,                 1.3198,                0.98616,                0.99693,                  0.995,                0.92049,                 0.4631,                0.29803,                 1.0236,             0.00087875,             0.00087875,             0.00087875
                     32,                0.52797,                0.39878,                 1.3304,                0.99018,                      1,                  0.995,                0.87419,                 0.5341,                0.32594,                 1.0587,             0.00086637,             0.00086637,             0.00086637
                     33,                0.53178,                0.41085,                 1.3982,                0.97048,                0.99494,                  0.995,                0.88756,                0.54326,                0.31516,                 1.0678,               0.000854,               0.000854,               0.000854
                     34,                0.51577,                0.38564,                 1.3389,                  0.965,                      1,                  0.995,                0.89271,                0.50534,                0.32166,                  1.055,             0.00084162,             0.00084162,             0.00084162
                     35,                0.52783,                0.40577,                 1.3627,                0.99218,                      1,                  0.995,                0.90033,                0.47661,                0.28983,                 1.0482,             0.00082925,             0.00082925,             0.00082925
                     36,                 0.5179,                0.39698,                 1.3225,                0.98868,                      1,                  0.995,                0.89849,                0.52078,                0.30739,                 1.0894,             0.00081688,             0.00081688,             0.00081688
                     37,                0.49807,                0.38245,                  1.314,                0.99156,                      1,                  0.995,                0.89924,                0.49144,                 0.3102,                 1.0561,              0.0008045,              0.0008045,              0.0008045
                     38,                0.51349,                0.39087,                 1.3448,                0.98348,                      1,                  0.995,                0.90036,                0.52687,                0.33834,                 1.0326,             0.00079213,             0.00079213,             0.00079213
                     39,                0.50939,                0.39258,                 1.3931,                0.99035,                      1,                  0.995,                0.89732,                0.51896,                0.29156,                 1.0786,             0.00077975,             0.00077975,             0.00077975
                     40,                0.49937,                0.38569,                 1.4228,                0.98984,                      1,                  0.995,                0.89888,                0.46807,                 0.2946,                 1.0471,             0.00076738,             0.00076738,             0.00076738
                     41,                0.49557,                0.37291,                  1.342,                0.98832,                      1,                  0.995,                0.90205,                0.49622,                0.30823,                 1.0064,               0.000755,               0.000755,               0.000755
                     42,                0.49227,                0.36708,                 1.3369,                 0.9891,                      1,                  0.995,                0.89595,                0.51243,                0.30115,                 1.0342,             0.00074263,             0.00074263,             0.00074263
                     43,                 0.5291,                0.38813,                 1.4202,                 0.9916,                      1,                  0.995,                0.88757,                0.50824,                0.32019,                  1.042,             0.00073025,             0.00073025,             0.00073025
                     44,                0.49076,                0.36382,                 1.3632,                0.99248,                      1,                  0.995,                0.90052,                0.51267,                0.28817,                 1.0326,             0.00071788,             0.00071788,             0.00071788
